Weapon Name	id	Price	Clip	Max Clip	Recoil Pitch	Recoil Yaw	Zoom	Zoom 2	Damage	Damage 2	Penetration	Rate	Rate 2	Speed	Range
Beretta 92F	1	600	10	30	1.5	1.5	0	0	35	0	0	0.16	0.00	1	1024
Glock 22	2	300	14	42	1.4	1.6	0	0	24	0	0	0.18	0.00	1	1024
Magnum 44	3	950	6	30	2.2	1.9	0	0	60	45	18	0.26	0.00	1	1280
Kimel AP-9	4	1400	30	90	1.8	1.8	0	0	22	0	0	0.08	0.00	270	1536
Ingram Mac 10	5	1200	25	100	2.2	1.4	0	0	20	0	0	0.07	0.00	260	1400
IMI UZI 9mm	6	1750	25	100	2.0	1.6	0	0	25	0	0	0.10	0.00	250	1536
MP5K-PDW	7	1900	30	120	2.0	1.6	0	0	30	0	0	0.09	0.00	250	1760
AK-74	8	3400	30	90	2.2	1.5	0	0	50	30	25	0.11	0.00	220	2048
Matel M16	9	3600	30	90	1.8	1.4	0	0	45	20	18	0.09	0.00	220	2048
AK-47	10	4200	30	90	1.9	1.5	45	0	65	45	35	0.10	0.14	200	2772
KA DR200	11	4950	30	120	1.7	1.3	55	0	55	25	25	0.09	0.12	180	3072
H&K PSG-1	12	4500	5	20	2.4	1.5	40	10	165	115	60	0.50	0.70	160	4096
Mossberg 590	13	1700	8	40	1.7	1.5	0	0	30	20	32	0.80	0.00	220	608
Benelli M4 S90	14	2100	7	49	1.7	1.5	0	0	20	15	22	0.30	0.00	220	512
															
